Question,Predicted Answer,Exact Match,Substring Match,Correct Answers,,,,,,,,,,,,,,,,,,,,,,,,
What chloroplast lineage is Cyanophora in?,glaucophyte chloroplasts,0,0,glaucophyte : glaucophyte : glaucophyte chloroplast group,,,,,,,,,,,,,,,,,,,,,,,,
What kind of organism is Cyanophora?,glaucophyte chloroplasts,0,0,alga : alga : glaucophyte,,,,,,,,,,,,,,,,,,,,,,,,
What are muroplasts?,glaucophyte chloroplasts,1,1,glaucophyte chloroplasts : glaucophyte chloroplasts : glaucophyte chloroplasts,,,,,,,,,,,,,,,,,,,,,,,,
What do concentric unstacked thylakoids surround?,a carboxysome - an icosahedral structure that glaucophyte chloroplasts and cyanobacteria,0,0,a carboxysome : carboxysome : carboxysome,,,,,,,,,,,,,,,,,,,,,,,,
What kind of structure is a carboxysome?,icosahedral,1,1,icosahedral : icosahedral : icosahedral,,,,,,,,,,,,,,,,,,,,,,,,
What kinds of pigments do rhodoplasts have?,photosynthetic,0,0,chlorophyll a and phycobilins : phycobilin : phycobilin,,,,,,,,,,,,,,,,,,,,,,,,
What are rhodoplasts' phycobilin pigments combined into?,phycobilisomes,1,1,phycobilisomes : phycobilisomes : phycobilisomes,,,,,,,,,,,,,,,,,,,,,,,,
What makes red algae red?,shallow water have less phycoerytherin in their rhodoplasts,0,0,the phycobilin phycoerytherin : phycobilin phycoerytherin : phycobilin phycoerytherin,,,,,,,,,,,,,,,,,,,,,,,,
What is the benefit of red algae being red?,phycobilin phycoerytherin is responsible for giving many red algae their distinctive red color. However  since they also contain the blue-green chlorophyll a and other pigments  many are reddish to purple from the combination. The red phycoerytherin pigment is an adaptation to help red algae catch more sunlight in deep water,0,0,catch more sunlight in deep water : catch more sunlight in deep water : catch more sunlight in deep water,,,,,,,,,,,,,,,,,,,,,,,,
What is floridean?,starch,0,1,a form of starch : a form of starch : a form of starch,,,,,,,,,,,,,,,,,,,,,,,,
What do red algal chloroplasts have that green chloroplasts don't?,lost their phycobilisomes,0,0,phycobilisomes : phycobilisomes : phycobilisomes,,,,,,,,,,,,,,,,,,,,,,,,
Why aren't some forms of HÃ_matococcus pluvialis green?,accessory pigments,1,1,accessory pigments that override the chlorophylls' green colors : accessory pigments : accessory pigments that override the chlorophylls' green colors,,,,,,,,,,,,,,,,,,,,,,,,
What don't chloroplastidan chloroplasts have?,lost the peptidoglycan wall between their double membrane,0,0,the peptidoglycan wall : the peptidoglycan wall : peptidoglycan wall between their double membrane,,,,,,,,,,,,,,,,,,,,,,,,
What have some plants repurposed the peptidoglycan layer genes for?,use in chloroplast division,0,0,chloroplast division : chloroplast division : chloroplast division,,,,,,,,,,,,,,,,,,,,,,,,
What do green chloroplasts have instead of phycobilisomes?,lost their phycobilisomes,0,0,chlorophyll b : chlorophyll b : chlorophyll b,,,,,,,,,,,,,,,,,,,,,,,,
What kind of membrane do primary chloroplasts have?,double,1,1,double : double membrane : double membrane,,,,,,,,,,,,,,,,,,,,,,,,
What differs about secondary chloroplasts' membranes?,secondary endosymbiotic event,0,0,additional membranes outside of the original two : additional membranes : have additional membranes outside of the original two,,,,,,,,,,,,,,,,,,,,,,,,
What was the secondary endosymbiotic event?,when a nonphotosynthetic eukaryote engulfed a chloroplast-containing alga,0,0,a nonphotosynthetic eukaryote engulfed a chloroplast-containing alga but failed to digest it : a nonphotosynthetic eukaryote engulfed a chloroplast-containing alga but failed to digest it : nonphotosynthetic eukaryote engulfed a chloroplast-containing alga but failed to digest it,,,,,,,,,,,,,,,,,,,,,,,,
What additional membranes do secondary chloroplasts have?,outside of the original two,0,0,sometimes the eaten alga's cell membrane, and the phagosomal vacuole from the host's cell membrane : sometimes the eaten alga's cell membrane : the two cyanobacterial membranes, sometimes the eaten alga's cell membrane, and the phagosomal vacuole from the host's cell membrane,,,,,,,,,,,,,,,,,,,,,
What was left when engulfed algae was broken down?,only its chloroplast,0,0,its chloroplast, and sometimes its cell membrane and nucleus : its chloroplast : chloroplast,,,,,,,,,,,,,,,,,,,,,,,
What kind of chloroplasts do Euglenophytes have?,Euglenophyte,0,0,chloroplasts derived from a green alga : green alga : green alga,,,,,,,,,,,,,,,,,,,,,,,,
What kind of protists are Euglenophytes?,flagellated,0,1,common flagellated : common flagellated : common flagellated,,,,,,,,,,,,,,,,,,,,,,,,
How are the pyrenoid and thylakoids arranged?,stacked in groups of three,1,1,stacked in groups of three : groups of three : stacked in groups of three,,,,,,,,,,,,,,,,,,,,,,,,
What does paramylon store?,secondary host's phagosomal membrane,0,0,Starch : Starch : Starch,,,,,,,,,,,,,,,,,,,,,,,,
Which membrane was lost in euglenophyte chloroplasts?,cyanobacterial membranes,0,0,the membrane of the primary endosymbiont : the primary endosymbiont : primary endosymbiont,,,,,,,,,,,,,,,,,,,,,,,,
What is another word for cryptophytes?,Cryptophytes  or cryptomonads are a group of algae that contain a red-algal derived chloroplast. Cryptophyte chloroplasts,0,0,cryptomonads : cryptomonads : cryptomonads,,,,,,,,,,,,,,,,,,,,,,,,
What kind of chloroplasts do cryptophytes have?,Cryptophyte,0,0,red-algal derived chloroplast : red-algal : red-algal derived,,,,,,,,,,,,,,,,,,,,,,,,
What part of cryptophyte chloroplasts is similar to chlorarachniophytes?,Inside,0,0,nucleomorph : nucleomorph : nucleomorph,,,,,,,,,,,,,,,,,,,,,,,,
Where do cryptophyte chloroplasts store starch?,periplastid space,0,1,in granules found in the periplastid space : granules : in granules found in the periplastid space,,,,,,,,,,,,,,,,,,,,,,,,
How do cryptophyte chloroplasts arrange their pyrenoid and thylakoids?,stacks of two,1,1,stacks of two : stacks of two : in stacks of two,,,,,,,,,,,,,,,,,,,,,,,,
What are Apicomplexans similar to?,chromalveolates,0,0,helicosproidia : helicosproidia : helicosproidia,,,,,,,,,,,,,,,,,,,,,,,,
What are Apicomplexans a type of?,chromalveolates,1,1,chromalveolates : chromalveolates : chromalveolates,,,,,,,,,,,,,,,,,,,,,,,,
What is Plasmodium?,the malaria parasite,1,1,the malaria parasite : apicomplexans : malaria parasite,,,,,,,,,,,,,,,,,,,,,,,,
What is an apicoplast?,they're parasitic  and have a nonphotosynthetic chloroplast. They were once thought to be related to the helicosproidia  but it is now known that the helicosproida are green algae rather than chromalveolates. The apicomplexans include Plasmodium  the malaria parasite. Many apicomplexans keep a vestigial red algal derived chloroplast,0,0,a vestigial red algal derived chloroplast : a vestigial red algal derived chloroplast : red algal derived chloroplast,,,,,,,,,,,,,,,,,,,,,,,,
Where do Apicomplexans store energy?,amylopectin starch granules,1,1,in amylopectin starch granules that are located in their cytoplasm : amylopectin starch granules : amylopectin starch granules,,,,,,,,,,,,,,,,,,,,,,,,
What do apicoplasts synthesize?,fatty acids,0,1,fatty acids, isopentenyl pyrophosphate, iron-sulfur clusters : fatty acids, isopentenyl pyrophosphate, iron-sulfur clusters : fatty acids, isopentenyl pyrophosphate, iron-sulfur clusters,,,,,,,,,,,,,,,,,,
What kind of diseases do drugs target apicoplasts for?,apicomplexan-related diseases,1,1,apicomplexan-related diseases : apicomplexan-related diseases : apicomplexan-related,,,,,,,,,,,,,,,,,,,,,,,,
What is the most important thing apicoplasts do?,isopentenyl pyrophosphate synthesis,1,1,isopentenyl pyrophosphate synthesis : isopentenyl pyrophosphate synthesis : isopentenyl pyrophosphate synthesis,,,,,,,,,,,,,,,,,,,,,,,,
What are apicoplasts missing?,isopentenyl pyrophosphate synthesisâ€”in fact  apicomplexans die when something interferes with this apicoplast function,0,0,photosynthetic pigments or true thylakoids : photosynthetic function : all photosynthetic function,,,,,,,,,,,,,,,,,,,,,,,,
How many membranes do apicoplasts have?,four,1,1,four : four : four,,,,,,,,,,,,,,,,,,,,,,,,
What is only found in peridinin-type chloroplasts?,Peridinin,1,1,Peridinin : peridinin : peridinin,,,,,,,,,,,,,,,,,,,,,,,,
Where is Peridinin found?,in any other group of chloroplasts,0,0,peridinin-type chloroplast : chloroplasts : chloroplasts,,,,,,,,,,,,,,,,,,,,,,,,
How are peridinin-type chloroplasts' thylakoids arranged?,triplet-stacked thylakoids. Starch is found outside the chloroplast An important feature of these chloroplasts is that their chloroplast DNA is highly reduced and fragmented into many small circles,0,0,triplet-stacked : triplet-stacked : triplet-stacked,,,,,,,,,,,,,,,,,,,,,,,,
What have peridinin-type chloroplasts lost?,the red algal endosymbiont's original cell membrane,1,1,the red algal endosymbiont's original cell membrane : the red algal endosymbiont's original cell membrane : red algal endosymbiont's original cell membrane,,,,,,,,,,,,,,,,,,,,,,,,
What lineage is Karlodinium in?,fucoxanthin dinophyte lineages,0,0,fucoxanthin dinophyte : fucoxanthin dinophyte : fucoxanthin dinophyte,,,,,,,,,,,,,,,,,,,,,,,,
What lineage is Karenia in?,fucoxanthin dinophyte lineages,0,0,fucoxanthin dinophyte : fucoxanthin dinophyte : fucoxanthin dinophyte,,,,,,,,,,,,,,,,,,,,,,,,
How many membranes does the haptophyte chloroplast have?,four,1,1,four : four : four,,,,,,,,,,,,,,,,,,,,,,,,
What is tertiary endosymbiosis of haptophyte chloroplasts expected to create?,a six membraned chloroplast,1,1,a six membraned chloroplast : a six membraned chloroplast : six membraned chloroplast,,,,,,,,,,,,,,,,,,,,,,,,
Where did Dinophysis get its chloroplasts from?,cryptophyte,1,1,a cryptophyte : cryptophyte : cryptophyte,,,,,,,,,,,,,,,,,,,,,,,,
What have the Dinophysis chloroplasts lost?,a two-membraned chloroplast,0,0,its nucleomorph and outermost two membranes : its nucleomorph and outermost two membranes : nucleomorph and outermost two membranes,,,,,,,,,,,,,,,,,,,,,,,,
What is the chloroplast of Dinophysis?,kleptoplast,0,0,a phycobilin-containing chloroplast : phycobilin-containing chloroplast : phycobilin-containing,,,,,,,,,,,,,,,,,,,,,,,,
What is left of the Dinophysis chloroplasts?,a two-membraned chloroplast,1,1,a two-membraned chloroplast : a two-membraned chloroplast : a two-membraned chloroplast,,,,,,,,,,,,,,,,,,,,,,,,
What is another word for diatom?,heterokontophyte,1,1,heterokontophyte : heterokontophyte : heterokontophyte,,,,,,,,,,,,,,,,,,,,,,,,
What is Durinskia's chloroplast?,diatom,0,1,a diatom (heterokontophyte) derived chloroplast : diatom (heterokontophyte) derived : diatom (heterokontophyte) derived,,,,,,,,,,,,,,,,,,,,,,,,
How many membranes does Durinskia's chloroplast have?,five,1,1,up to five : up to five : five,,,,,,,,,,,,,,,,,,,,,,,,
What is sometimes but not always counted regarding Durinskia's chloroplast membranes?,diatom (heterokontophyte) derived chloroplast. These chloroplasts are bounded by up to five membranes  (depending on whether you count the entire diatom endosymbiont as the chloroplast  or just the red algal,0,0,the entire diatom endosymbiont as the chloroplast : the entire diatom endosymbiont : diatom endosymbiont,,,,,,,,,,,,,,,,,,,,,,,,
Where does the diatom endosymbiont store starch?,granules in the dinophyte host's cytoplasm,1,1,granules in the dinophyte host's cytoplasm : in the dinophyte host : granules in the dinophyte host's cytoplasm,,,,,,,,,,,,,,,,,,,,,,,,
Where do nucleomorph genes transfer to?,dinophyte nucleus,1,1,the dinophyte nucleus : the dinophyte nucleus : dinophyte nucleus,,,,,,,,,,,,,,,,,,,,,,,,
What is the only dinophyte that has a non-rhodoplast chloroplast?,Lepidodinium,1,1,Lepidodinium : Lepidodinium : Lepidodinium,,,,,,,,,,,,,,,,,,,,,,,,
What did Lepidodinium viride lose?,their original peridinin chloroplast,1,1,their original peridinin chloroplast : nucleomorph : their original peridinin chloroplast,,,,,,,,,,,,,,,,,,,,,,,,
What did Lepidodinium viride replace their original chloroplast with?,a green algal,0,1,a green algal derived chloroplast : prasinophyte : green algal derived chloroplast (more specifically, a prasinophyte),,,,,,,,,,,,,,,,,,,,,,,
What is a prasinophyte?,green algal derived chloroplast,1,1,a green algal derived chloroplast : a green algal derived chloroplast : green algal derived chloroplast,,,,,,,,,,,,,,,,,,,,,,,,
Where did most chloroplasts come from?,Paulinella chromatophora,0,0,first set of endosymbiotic events : first set of endosymbiotic events : first set of endosymbiotic events,,,,,,,,,,,,,,,,,,,,,,,,
What is different about Paulinella chromatophora?,acquired a photosynthetic cyanobacterial endosymbiont more recently,1,1,acquired a photosynthetic cyanobacterial endosymbiont more recently : acquired a photosynthetic cyanobacterial endosymbiont more recently : acquired a photosynthetic cyanobacterial endosymbiont more recently,,,,,,,,,,,,,,,,,,,,,,,,
How many base pairs are there in Chromatophore DNA?,about a million,1,1,about a million : about a million : about a million,,,,,,,,,,,,,,,,,,,,,,,,
How many protein-encoding genes are there in Chromatophore DNA?,850,1,1,around 850 : 850 : 850,,,,,,,,,,,,,,,,,,,,,,,,
How many base pairs are there in Synechococcus DNA?,three million,1,1,three million : 150,000 : three million,,,,,,,,,,,,,,,,,,,,,,,
What is chloroplast DNA abbreviated as?,ctDNA,1,1,ctDNA, or cpDNA : ctDNA : ctDNA, or cpDNA,,,,,,,,,,,,,,,,,,,,,,
What is a synonym for chloroplast DNA?,ctDNA,0,0,the plastome : cpDNA : plastome,,,,,,,,,,,,,,,,,,,,,,,,
When was the plastome discovered?,1962,1,1,1962 : 1962 : 1962,,,,,,,,,,,,,,,,,,,,,,,,
When was the first plastome sequenced?,1986,1,1,1986 : 1986 : 1986,,,,,,,,,,,,,,,,,,,,,,,,
Who sequenced the first plastome?,two Japanese research teams,1,1,two Japanese research teams : two Japanese research teams : two Japanese research teams,,,,,,,,,,,,,,,,,,,,,,,,
What seldom mutates?,inverted repeats,0,0,The inverted repeat regions : inverted repeat regions : inverted repeat regions,,,,,,,,,,,,,,,,,,,,,,,,
What have some inverted repeats become?,help stabilize the rest of the chloroplast genome,0,0,direct repeats : direct repeats : direct repeats,,,,,,,,,,,,,,,,,,,,,,,,
What could inverted repeats help do?,stabilize the rest of the chloroplast genome,1,1,stabilize the rest of the chloroplast genome : stabilize the rest of the chloroplast : help stabilize the rest of the chloroplast genome,,,,,,,,,,,,,,,,,,,,,,,,
How is chloroplast replication observed?,via electron microscopy,1,1,electron microscopy : via electron microscopy : electron microscopy,,,,,,,,,,,,,,,,,,,,,,,,
How many major chloroplast replication models have been suggested?,two,1,1,two : two : two,,,,,,,,,,,,,,,,,,,,,,,,
What is a Cairns replication intermediate?,a theta intermediary form,1,1,a theta intermediary form : theta intermediary form : a theta intermediary form,,,,,,,,,,,,,,,,,,,,,,,,
What is a D-loop?,double displacement loop,1,1,a Cairns replication intermediate : double displacement loop : double displacement loop,,,,,,,,,,,,,,,,,,,,,,,,
How does the D-loop finish replicating?,a rolling circle mechanism,1,1,with a rolling circle mechanism : a rolling circle mechanism : with a rolling circle mechanism,,,,,,,,,,,,,,,,,,,,,,,,
What kind of gradients does cpDNA have?,A â†’ G deamination,1,1,A â†’ G deamination : A â†’ G deamination gradients : A â†’ G deamination,,,,,,,,,,,,,,,,,,,,,,,,
What makes DNA vulnerable to deamination?,single stranded,0,1,when it is single stranded : when it is single stranded : replication forks form,,,,,,,,,,,,,,,,,,,,,,,,
How does the secondary theory say most cpDNA is structured?,linear and replicates through homologous recombination,0,0,linear : linear : linear,,,,,,,,,,,,,,,,,,,,,,,,
How does the secondary theory say most cpDNA replicates?,through homologous recombination,1,1,homologous recombination : homologous recombination : through homologous recombination,,,,,,,,,,,,,,,,,,,,,,,,
Where does the secondary theory say most genes are kept?,circular chromosomes,0,0,in branched, linear, or other complex structures : branched, linear, or other complex structures : in branched, linear, or other complex structures,,,,,,,,,,,,,,,,,,
What is cpDNA's replication similar to?,bacteriophage T4,1,1,bacteriophage T4 : bacteriophage T4. : bacteriophage T4,,,,,,,,,,,,,,,,,,,,,,,,
What kind of cpDNA does maize have?,linear cpDNA,0,0,linear : linear : linear,,,,,,,,,,,,,,,,,,,,,,,,
How is most plants' cpDNA arranged?,via a D loop mechanism,0,0,circular : circular : circular,,,,,,,,,,,,,,,,,,,,,,,,
How does most plants' cpDNA replicate?,via a D loop mechanism,1,1,via a D loop mechanism : via a D loop mechanism : via a D loop mechanism,,,,,,,,,,,,,,,,,,,,,,,,
What shows us lost chloroplasts?,Endosymbiotic gene transfer,1,1,Endosymbiotic gene transfer : Endosymbiotic gene transfer : Endosymbiotic gene transfer,,,,,,,,,,,,,,,,,,,,,,,,
What do donated genes give evidence of?,the lost chloroplast's existence,1,1,the lost chloroplast's existence : for the lost chloroplast's existence : the lost chloroplast's existence,,,,,,,,,,,,,,,,,,,,,,,,
What kind of chloroplasts do diatoms have?,red algal derived chloroplast,0,1,a red algal derived chloroplast : red algal : red algal derived,,,,,,,,,,,,,,,,,,,,,,,,
What kind of chloroplasts did diatoms have but lost?,chloroplast,0,1,green algal derived chloroplast : green algal : green algal derived,,,,,,,,,,,,,,,,,,,,,,,,
What is the status of most chloroplast genes in the mitochondrion?,nonfunctional pseudogenes,1,1,nonfunctional pseudogenes : nonfunctional : most became nonfunctional pseudogenes,,,,,,,,,,,,,,,,,,,,,,,,
How much of the protein products of transferred genes don't go back to chloroplasts?,around half,1,1,around half : half : half,,,,,,,,,,,,,,,,,,,,,,,,
What new tasks do the protein products of transferred genes take on?,cell division  protein routing  and even disease resistance,1,1,participating in cell division, protein routing, and even disease resistance : cell division, protein routing, and even disease resistance : cell division, protein routing, and even disease resistance,,,,,,,,,,,,,,,,,,
What do you have to cross to reach the chloroplast in many secondary plastids?,the cell membrane,1,1,the cell membrane : the cell membrane : the cell membrane,,,,,,,,,,,,,,,,,,,,,,,,
What is the chloroplast polypeptide synthesized on?,a ribosome in the cytosol,0,0,a ribosome : a ribosome : ribosome,,,,,,,,,,,,,,,,,,,,,,,,
Where is the chloroplast polypeptide synthesized?,a ribosome in the cytosol,0,0,in the cytosol : in the cytosol : cytosol,,,,,,,,,,,,,,,,,,,,,,,,
What does Phosphorylation do?,helps many proteins bind the polypeptide  keeping it from folding prematurely,0,0,helps many proteins bind the polypeptide : helps many proteins bind the polypeptide : helps many proteins bind the polypeptide,,,,,,,,,,,,,,,,,,,,,,,,
What is the benefit of polypeptide binding?,prevents chloroplast proteins,0,1,keeping it from folding prematurely : keeping it from folding prematurely : prevents chloroplast proteins from assuming their active form and carrying out their chloroplast functions in the wrong place,,,,,,,,,,,,,,,,,,,,,,,,
How are chloroplasts in land plants usually shaped?,lens-shaped  5â€“8 Î_m in diameter and 1â€“3 Î_m thick,0,0,lens-shaped : lens-shaped : lens-shaped,,,,,,,,,,,,,,,,,,,,,,,,
How large across are chloroplasts in land plants?,5â€“8 Î_m in diameter and 1â€“3 Î_m thick,0,0,5â€“8 Î_m in diameter : 5â€“8 Î_m : 5â€“8 Î_m in diameter,,,,,,,,,,,,,,,,,,,,,,,,
How thick are chloroplasts in land plants?,5â€“8 Î_m in diameter and 1â€“3 Î_m thick,0,0,1â€“3 Î_m : 1â€“3 Î_m : 1â€“3 Î_m,,,,,,,,,,,,,,,,,,,,,,,,
What shape is Oedogonium's chloroplasts?,lens-shaped,0,0,a net : a net : net,,,,,,,,,,,,,,,,,,,,,,,,
What shape is Chlamydomonas's chloroplasts?,lens-shaped,0,0,a cup : a cup : cup,,,,,,,,,,,,,,,,,,,,,,,,
What is evidence chloroplasts descended from endosymbiotic cyanobacteria?,double membrane,0,1,a double membrane : surrounded by a double membrane : surrounded by a double membrane,,,,,,,,,,,,,,,,,,,,,,,,
What is incorrectly thought about the outer chloroplast membrane?,the product of the host's cell membrane infolding,0,1,the product of the host's cell membrane infolding to form a vesicle to surround the ancestral cyanobacterium : is the product of the host's cell membrane : is the product of the host's cell membrane infolding to form a vesicle to surround the ancestral cyanobacterium,,,,,,,,,,,,,,,,,,,,,,,,
How do both chloroplast membranes compare to cyanobacterium's original double membranes?,homologous,1,1,homologous : homologous : homologous,,,,,,,,,,,,,,,,,,,,,,,,
What is the chloroplast double membrane sometimes compared to?,mitochondrial double membrane,1,1,the mitochondrial double membrane : the mitochondrial double membrane : mitochondrial double membrane,,,,,,,,,,,,,,,,,,,,,,,,
What does the inner mitochondria membrane do?,used to run proton pumps,0,0,run proton pumps and carry out oxidative phosphorylation : to run proton pumps : run proton pumps and carry out oxidative phosphorylation across to generate ATP energy,,,,,,,,,,,,,,,,,,,,,,,,
What does oxidative phosphorylation do?,across to generate ATP energy,0,0,generate ATP energy : generate ATP energy : generate ATP energy,,,,,,,,,,,,,,,,,,,,,,,,
What chloroplast structure is similar to the inner mitochondria membrane?,internal thylakoid system,1,1,the internal thylakoid system : the internal thylakoid system : internal thylakoid system,,,,,,,,,,,,,,,,,,,,,,,,
What part of chloroplasts isn't similar to mitochondria?,inner,0,1,the inner chloroplast membrane : the inner chloroplast membrane : inner chloroplast membrane,,,,,,,,,,,,,,,,,,,,,,,,
What are more common in other plastids than chloroplasts?,chromoplasts and amyloplasts in petals and roots,0,0,Stromules : Stromules : Stromules,,,,,,,,,,,,,,,,,,,,,,,,
What is a stromule?,stroma-containing tubule,1,1,stroma-containing tubule : stroma-containing tubule : stroma-containing tubule,,,,,,,,,,,,,,,,,,,,,,,,
Why do stromules exist?,to increase the chloroplast's surface area for cross-membrane transport,1,1,to increase the chloroplast's surface area for cross-membrane transport : to increase the chloroplast's surface area : to increase the chloroplast's surface area for cross-membrane transport,,,,,,,,,,,,,,,,,,,,,,,,
When were stromules discovered?,1962,1,1,1962 : 1962 : 1962,,,,,,,,,,,,,,,,,,,,,,,,
Where is the chloroplast peripheral reticulum usually found?,chloroplasts of C4 plants,1,1,in the chloroplasts of C4 plants : in the chloroplasts of C4 plants, : chloroplasts of C4 plants,,,,,,,,,,,,,,,,,,,,,,,
Where is the chloroplast peripheral reticulum less commonly found?,chloroplasts of C4 plants,0,0,in some C3 angiosperms, and even some gymnosperms : C3 angiosperms : C3 angiosperms, and even some gymnosperms,,,,,,,,,,,,,,,,,,,,,,
What is a maze of membranous tubes?,chloroplast peripheral reticulum,0,1,The chloroplast peripheral reticulum : The chloroplast peripheral reticulum,,,,,,,,,,,,,,,,,,,,,,,,
What does the chloroplast peripheral reticulum do?,a maze of membranous tubes and vesicles continuous with the inner chloroplast membrane that extends into the internal stromal fluid of the chloroplast,0,0,increase the chloroplast's surface area for cross-membrane transport : to increase the chloroplast's surface area : increase the chloroplast's surface area for cross-membrane transport between its stroma and the cell cytoplasm,,,,,,,,,,,,,,,,,,,,,,,,
Where do transport vesicles move between?,the thylakoids and intermembrane space,1,1,the thylakoids and intermembrane space : thylakoids and intermembrane space : thylakoids and intermembrane space,,,,,,,,,,,,,,,,,,,,,,,,
What do chloroplasts use their ribosomes for?,synthesize a small fraction of their proteins,1,1,synthesize a small fraction of their proteins : to synthesize a small fraction of their proteins : synthesize a small fraction of their proteins,,,,,,,,,,,,,,,,,,,,,,,,
How large are Chloroplast ribosomes?,two-thirds,0,0,17 nm : around 17 nm : 17 nm,,,,,,,,,,,,,,,,,,,,,,,,
How large are Cytoplasmic ribosomes?,two-thirds,0,0,25 nm : 25 nm : 25 nm,,,,,,,,,,,,,,,,,,,,,,,,
What are some Chlorophyta and euglenid chloroplasts missing?,Small subunit ribosomal RNAs,0,0,motifs for shine-dalgarno sequence recognition : motifs for shine-dalgarno sequence recognition : motifs for shine-dalgarno sequence recognition,,,,,,,,,,,,,,,,,,,,,,,,
Why is shine-dalgarno sequence recognition important?,essential for translation initiation in most chloroplasts and prokaryotes,1,1,is considered essential for translation initiation in most chloroplasts and prokaryotes : translation initiation : essential for translation initiation in most chloroplasts and prokaryotes,,,,,,,,,,,,,,,,,,,,,,,,
What is a single Plastoglobuli called?,plastoglobule,0,1,plastoglobulus, sometimes spelled plastoglobule(s) : plastoglobulus : plastoglobulus,,,,,,,,,,,,,,,,,,,,,,,
What shape are Plastoglobuli?,spherical,1,1,spherical bubbles : spherical : spherical,,,,,,,,,,,,,,,,,,,,,,,,
What are Plastoglobuli made of?,spherical bubbles of lipids and proteins about 45â€“60 nanometers across,0,0,lipids and proteins : lipids and proteins : lipids and proteins,,,,,,,,,,,,,,,,,,,,,,,,
How large are Plastoglobuli?,45â€“60 nanometers across,1,1,45â€“60 nanometers across : 45â€“60 nanometers across : 45â€“60 nanometers across,,,,,,,,,,,,,,,,,,,,,,,,
What surrounds Plastoglobuli?,lipid monolayer,1,1,a lipid monolayer : lipid monolayer : a lipid monolayer,,,,,,,,,,,,,,,,,,,,,,,,
What are Plastoglobuli attached to?,a thylakoid,1,1,either to a thylakoid or to another plastoglobulus attached to a thylakoid : a thylakoid : thylakoid or to another plastoglobulus attached to a thylakoid,,,,,,,,,,,,,,,,,,,,,,,,
What do Plastoglobuli exchange contents with?,thylakoid network,1,1,the thylakoid network : the thylakoid network : thylakoid network,,,,,,,,,,,,,,,,,,,,,,,,
How are green chloroplasts' Plastoglobuli arranged?,to their parent thylakoid,0,1,singularly, attached directly to their parent thylakoid : singularly : singularly, attached directly to their parent thylakoid,,,,,,,,,,,,,,,,,,,,,,
When do Plastoglobuli occur in linked groups?,In old or stressed chloroplasts,1,1,In old or stressed chloroplasts : In old or stressed chloroplasts : In old or stressed chloroplasts,,,,,,,,,,,,,,,,,,,,,,,,
Where are pyrenoids found?,higher plants,0,0,The chloroplasts of some hornworts and algae : some hornworts and algae : chloroplasts of some hornworts and algae,,,,,,,,,,,,,,,,,,,,,,,,
What shape are pyrenoids?,spherical,1,1,roughly spherical : roughly spherical : spherical,,,,,,,,,,,,,,,,,,,,,,,,
What do pyrenoids look like?,spherical,0,1,highly refractive : highly refractive : roughly spherical and highly refractive,,,,,,,,,,,,,,,,,,,,,,,,
What do pyrenoids store?,starch accumulation,0,0,starch : starch : starch,,,,,,,,,,,,,,,,,,,,,,,,
How can pyrenoids replicate?,divide to form new pyrenoids,0,1,divide to form new pyrenoids," or be produced ""de novo"" : divide : divide to form new pyrenoids"," or be produced ""de novo""",,,,,,,,,,,,,,,,,,,,,,
In what model do grana look like pancakes?,helical thylakoid,1,1,the helical thylakoid model : the helical thylakoid model : helical thylakoid,,,,,,,,,,,,,,,,,,,,,,,,
What shape are granal thylakoids?,flattened circular,1,1,flattened circular : flattened circular : flattened circular,,,,,,,,,,,,,,,,,,,,,,,,
How many granal thylakoids can be in each granum?,two to a hundred,1,1,anywhere from two to a hundred : two to a hundred : two to a hundred,,,,,,,,,,,,,,,,,,,,,,,,
How many granal thylakoids are usually in each granum?,two to a hundred,0,0,10â€“20 : 10â€“20 : 10â€“20,,,,,,,,,,,,,,,,,,,,,,,,
What are frets?,lamellar thylakoids,0,0,helicoid stromal thylakoids : helicoid stromal thylakoids : helicoid stromal thylakoids,,,,,,,,,,,,,,,,,,,,,,,,
What does chlorophyll absorb?,light energy,1,1,light energy : light energy : light energy,,,,,,,,,,,,,,,,,,,,,,,,
What do carotenoids absorb?,light energy,1,1,light energy : light energy : light energy,,,,,,,,,,,,,,,,,,,,,,,,
What does chlorophyll use light energy to do?,energize electrons,1,1,energize electrons : to energize electrons : energize electrons,,,,,,,,,,,,,,,,,,,,,,,,
What does the thylakoid membrane use the energized electrons for?,pump hydrogen ions,1,1,pump hydrogen ions into the thylakoid space : pump hydrogen ions : pump hydrogen ions into the thylakoid space,,,,,,,,,,,,,,,,,,,,,,,,
What is ATP synthase similar to?,a large protein complex that harnesses the concentration gradient of the hydrogen ions,0,0,a dam turbine : a dam turbine : a dam turbine,,,,,,,,,,,,,,,,,,,,,,,,
How many types of thylakoids are there?,two,1,1,two : two : two,,,,,,,,,,,,,,,,,,,,,,,,
What distinguishes granal thylakoids?,stromal thylakoids,0,0,are arranged in grana : arranged in grana : arranged in grana,,,,,,,,,,,,,,,,,,,,,,,,
What distinguishes stromal thylakoids?,contact with the stroma,0,1,are in contact with the stroma : in contact with the stroma : helicoid sheets,,,,,,,,,,,,,,,,,,,,,,,,
What shape are granal thylakoids?,pancake-shaped circular disks about 300â€“600 nanometers in diameter. Stromal thylakoids are helicoid sheets that spiral around grana. The flat tops and bottoms,0,0,pancake-shaped circular disks : pancake : pancake-shaped,,,,,,,,,,,,,,,,,,,,,,,,
